#{"t_start": 1727946070.6623712, "env_id": "attack_Env-v0"}
r,l,t
-100.0,100,1.110715
-159.0,100,1.702911
-150.0,100,2.29934
-159.5,100,2.914906
-150.0,100,3.505009
-100.0,100,4.384288
-100.0,100,5.227531
-159.5,100,5.829099
-100.0,100,6.846812
-150.0,100,7.474387
-376.0,100,9.002855
-215.5,100,10.415041
-388.0,100,15.331618
-170.0,100,16.777354
-121.0,100,18.301934
-381.5,100,22.935019
-354.0,100,24.432991
-245.0,100,29.015737
-370.5,100,30.52001
-262.0,100,31.969532
-346.5,100,36.703165
-168.5,100,38.133438
-275.0,100,42.716189
-352.5,100,44.149713
-363.0,100,45.616474
-271.5,100,50.377448
-143.5,100,51.816163
-220.5,100,56.404786
-121.5,100,57.868584
-120.0,100,59.361044
-394.0,100,64.232645
-259.5,100,65.859264
-371.5,100,67.278101
-386.0,100,71.943407
-332.5,100,73.438827
-124.0,100,78.17978
-356.5,100,79.679096
-251.0,100,81.135107
-146.0,100,85.851021
-371.5,100,87.341945
-223.0,100,92.131645
-188.0,100,93.803006
-211.5,100,95.354799
-321.5,100,100.132475
-339.5,100,101.599788
-163.0,100,106.081384
-340.0,100,107.488818
-129.5,100,109.096565
-200.0,100,113.905027
-372.5,100,115.3887
-411.0,100,120.311644
-287.5,100,121.947259
-186.0,100,123.465224
-211.0,100,128.305293
-277.0,100,129.877475
-122.0,100,131.431112
-378.0,100,136.369927
-249.5,100,137.952941
-317.0,100,142.686291
-173.0,100,144.2147
-173.5,100,145.893788
-401.5,100,150.998906
-219.5,100,152.580311
-196.0,100,157.154886
-146.5,100,158.62615
-272.5,100,160.012377
-288.5,100,164.853017
-211.5,100,166.296891
-328.5,100,171.043641
-157.5,100,172.51416
-200.0,100,174.005436
-240.0,100,178.856714
-382.5,100,180.483044
-162.5,100,182.041343
-362.5,100,186.801912
-342.0,100,188.42639
-131.0,100,193.099455
-233.5,100,194.532392
-365.5,100,196.033456
-147.5,100,200.829593
-363.5,100,202.415856
-170.5,100,207.084258
-338.0,100,208.662147
-305.0,100,210.169216
-170.0,100,215.086689
-178.0,100,216.56304
-91.0,93,221.040515
-340.0,100,222.412987
-357.5,100,224.017885
-325.5,100,228.819803
-267.0,100,230.416364
-358.5,100,235.541854
-179.0,100,237.036355
-349.0,100,238.591053
-373.5,100,243.4687
-239.0,100,244.927722
-352.0,100,246.436309
-390.5,100,251.200319
-163.0,100,252.70338
-354.5,100,257.37678
-231.0,100,258.829786
-332.5,100,260.478129
-159.5,100,265.328013
-151.5,100,266.782559
-150.0,100,271.416576
-162.0,100,272.885094
-123.0,100,274.44293
-408.0,100,279.49841
-320.5,100,280.961915
-381.0,100,285.543772
-351.5,100,287.201574
-318.0,100,288.829739
-212.0,100,293.579137
-150.0,100,295.092148
-372.5,100,296.506057
-198.0,100,301.233096
-145.0,100,302.768216
-321.0,100,307.573608
-186.5,100,308.999213
-249.0,100,310.619259
-131.0,100,315.551327
-125.5,100,317.002271
-299.5,100,321.564881
-151.5,100,323.099833
-375.0,100,324.579736
-349.5,100,329.379733
-337.5,100,331.001891
-269.0,100,335.65371
-250.0,100,337.080889
-390.5,100,338.694947
-357.0,100,343.701548
-202.0,100,345.206599
-282.5,100,349.974476
-228.5,100,351.471786
-343.0,100,353.04702
-128.5,100,357.977056
-120.5,100,359.599083
-154.0,100,361.020605
-128.5,100,365.698801
-377.0,100,367.217945
-326.0,100,371.89784
-135.0,100,373.351733
-162.0,100,374.832477
-118.5,100,379.629767
-134.5,100,381.084448
-261.5,100,385.783444
-160.0,100,387.303829
-131.5,100,388.770961
-269.0,100,393.666417
-336.5,100,395.161975
-246.5,100,399.927662
-339.0,100,401.351722
-157.0,100,402.848538
-133.5,100,407.78172
-185.0,100,409.400561
-314.5,100,414.20896
-148.0,100,415.661345
-126.5,100,417.133565
-295.5,100,421.863931
-339.0,100,423.292835
-293.5,100,424.817413
-236.5,100,429.566597
-321.5,100,431.121863
-166.0,100,435.812721
-185.0,100,437.302392
-336.0,100,438.870405
-161.0,100,443.568268
-198.5,100,445.215995
-144.0,100,449.770314
-378.5,100,451.321445
-338.5,100,452.82484
-279.5,100,457.557537
-327.0,100,459.020719
-117.5,100,463.681638
-277.5,100,465.316489
-205.0,100,466.883912
-127.5,100,471.630589
-334.0,100,473.043056
-215.5,100,474.539647
-139.5,100,479.316597
-338.0,100,480.833544
-215.5,100,485.570666
-333.5,100,486.995194
-304.5,100,488.349697
-283.0,100,493.212327
-269.0,100,494.61152
-267.0,100,499.214653
-373.0,100,500.61084
-221.0,100,502.001213
-144.5,100,506.782627
-350.0,100,508.265488
-232.0,100,512.883098
-227.0,100,514.392439
-356.5,100,515.835509
-129.5,100,520.661874
-367.5,100,522.226634
-117.0,100,527.346526
-317.5,100,528.766822
-359.0,100,530.219575
-218.5,100,535.018005
-302.5,100,536.571109
-312.0,100,537.893166
-160.0,100,542.665973
