#{"t_start": 1727147808.9320037, "env_id": "navi_Env-v0"}
r,l,t
-574.0,100,1.267428
-547.0,100,1.720353
-530.0,100,2.095396
-540.0,100,2.474733
-600.0,100,2.876236
-585.0,100,3.275419
-545.0,100,3.66767
-560.0,100,4.058144
-580.0,100,4.439965
-585.0,100,4.859343
-130.0,100,5.8785
-130.0,100,6.799216
-100.0,100,11.809956
-149.0,100,12.718309
-110.0,100,13.725957
-125.0,100,18.376545
-115.0,100,19.265131
-105.0,100,23.581975
-115.0,100,24.393305
-26.0,77,25.086176
-8.0,53,29.036782
-120.0,100,29.93222
-150.0,100,30.842874
-170.0,100,35.608635
-100.0,100,36.579908
-110.0,100,37.437
-115.0,100,41.782922
-145.0,100,42.767969
-140.0,100,47.05109
-120.0,100,47.94815
-105.0,100,48.901059
-165.0,100,53.483718
-49.0,89,54.330036
-145.0,100,58.47604
-140.0,100,59.401934
-140.0,100,60.359901
-130.0,100,64.893002
-110.0,100,65.863895
-160.0,100,70.436023
-38.0,78,71.270901
-145.0,100,72.12996
-105.0,100,77.172363
-110.0,100,78.204934
-100.0,100,79.17433
-100.0,100,84.491648
-110.0,100,85.582081
-155.0,100,90.543257
-110.0,100,91.615969
-100.0,100,92.704555
-110.0,100,97.988104
-35.0,70,98.818089
-110.0,100,99.908015
-100.0,100,104.968646
-120.0,100,106.115085
-100.0,100,110.594504
-110.0,100,111.60683
-120.0,90,112.581671
-110.0,100,117.529185
-115.0,100,118.621926
-125.0,100,119.751284
-155.0,100,125.183117
-98.0,88,126.212874
-48.0,63,126.936671
-100.0,100,131.635792
-125.0,100,132.661313
-100.0,100,137.254179
-120.0,100,138.187993
-52.0,87,139.03985
39.0,11,139.139832
-120.0,100,144.070191
-135.0,100,145.102935
-105.0,100,150.249148
-100.0,100,151.510902
-110.0,100,152.501097
-100.0,100,157.700121
-135.0,100,158.722275
-130.0,100,163.555472
17.0,33,163.894675
-155.0,100,165.009264
-135.0,100,166.11014
-120.0,100,171.30159
-105.0,100,172.388308
-105.0,100,177.248184
-130.0,100,178.348993
-110.0,100,179.404551
-115.0,100,184.764663
-110.0,100,185.840432
-22.0,57,186.553069
-115.0,100,191.395792
-130.0,100,192.523529
-125.0,100,198.086283
-100.0,100,199.142623
-120.0,100,200.059117
-20.0,70,205.42646
-14.0,64,206.092891
-130.0,100,207.020128
-110.0,100,211.223683
-115.0,100,212.076516
-115.0,100,213.020071
-100.0,100,217.557063
-12.0,57,218.194081
-145.0,100,219.244857
-105.0,100,223.808786
-110.0,100,224.874787
-120.0,100,229.565535
-100.0,100,230.667566
-115.0,100,231.646609
-120.0,100,236.234598
-3.0,48,236.760129
-100.0,100,237.723855
-110.0,100,242.483549
-110.0,100,243.434518
-36.0,81,244.266282
-115.0,100,248.836071
-110.0,100,249.864811
-170.0,100,254.747521
-110.0,100,255.782731
-100.0,100,256.853837
-105.0,100,261.93524
